23:12:06 INFO  TestBase ||  START :: addNewCarPositiveTest
23:12:06 INFO  TestBase || - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 
23:12:26 INFO  TestBase || - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 
23:12:26 INFO  TestBase ||  ENDED :: addNewCarPositiveTest
23:12:26 INFO  TestBase || 
23:12:26 INFO  TestBase || ============================================================================

23:12:26 INFO  TestBase ||  START :: Test
23:12:26 INFO  TestBase || - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 
23:12:28 INFO  TestBase || - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 
23:12:28 INFO  TestBase ||  ENDED :: Test
23:12:28 INFO  TestBase || 
23:12:28 INFO  TestBase || ============================================================================

23:12:28 INFO  TestBase ||  START :: loginTest
23:12:28 INFO  TestBase || - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 
23:12:31 INFO  TestBase || - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 
23:12:31 INFO  TestBase ||  ENDED :: loginTest
23:12:31 INFO  TestBase || 
23:12:31 INFO  TestBase || ============================================================================

23:12:31 INFO  TestBase ||  START :: loginTestModel
23:12:31 INFO  TestBase || - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 
23:12:34 INFO  TestBase || - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 
23:12:34 INFO  TestBase ||  ENDED :: loginTestModel
23:12:34 INFO  TestBase || 
23:12:34 INFO  TestBase || ============================================================================

23:12:34 INFO  TestBase ||  START :: registrationPositiveTest
23:12:34 INFO  TestBase || - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 
23:12:34 INFO  TestBase || registrationPositiveTest() with joe754@mail.com and password: $Asdf1234
23:12:41 INFO  TestBase || - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 
23:12:41 INFO  TestBase ||  ENDED :: registrationPositiveTest
23:12:41 INFO  TestBase || 
23:12:41 INFO  TestBase || ============================================================================

